"id","tableId","customerName","customerPhone","customerEmail","partySize","startTime","endTime","durationMinutes","status","priority","source","createdAt","updatedAt"
"res-1761421861431-1","table-10","Roberto Herrera González","+54-11-1234-5678","robertoherreragonzález@yahoo.com","3","2025-10-22T11:30:00.000-03:00","2025-10-22T13:10:00.000-03:00","100","CONFIRMED","VIP","phone","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861431-2","table-27","Sandra Vega Herrera","+54-11-5555-6666","sandravegaherrera@outlook.com","6","2025-10-24T14:00:00.000-03:00","2025-10-24T16:57:00.000-03:00","177","FINISHED","VIP","web","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861431-3","table-3","Sandra Vega García","+54-11-3456-7890","sandravegagarcía@hotmail.com","3","2025-10-19T10:00:00.000-03:00","2025-10-19T12:09:00.000-03:00","129","SEATED","VIP","app","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861431-5","table-4","Teresa Molina Herrera","+54-11-3456-7890","teresamolinaherrera@yahoo.com","6","2025-10-24T13:00:00.000-03:00","2025-10-24T16:37:00.000-03:00","217","PENDING","STANDARD","app","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861431-6","table-4","Camila Espinoza Martín","+54-11-2345-6789","camilaespinozamartín@live.com","6","2025-10-18T17:30:00.000-03:00","2025-10-18T19:31:00.000-03:00","121","CANCELLED","LARGE_GROUP","phone","2025-10-19T00:00:00.000-03:00","2025-10-19T00:00:00.000-03:00"
"res-1761421861431-7","table-18","Sofia Reyes López","+54-11-2345-6789","sofiareyeslópez@yahoo.com","3","2025-10-19T14:30:00.000-03:00","2025-10-19T17:34:00.000-03:00","184","CANCELLED","LARGE_GROUP","app","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861431-8","table-24","Natalia Ortega Ortega","+54-11-3456-7890","nataliaortegaortega@hotmail.com","6","2025-10-22T18:00:00.000-03:00","2025-10-22T19:35:00.000-03:00","95","FINISHED","STANDARD","app","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861431-9","table-30","Teresa Molina Pérez","+54-11-1234-5678","teresamolinapérez@live.com","2","2025-10-24T19:00:00.000-03:00","2025-10-24T21:23:00.000-03:00","143","PENDING","LARGE_GROUP","app","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861431-10","table-20","Roberto Herrera Peña","+54-11-1313-4545","robertoherrerapeña@yahoo.com","7","2025-10-21T11:30:00.000-03:00","2025-10-21T14:55:00.000-03:00","205","CANCELLED","STANDARD","web","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861431-11","table-14","Cristina Romero Campos","+54-11-6767-8989","cristinaromerocampos@hotmail.com","4","2025-10-22T13:30:00.000-03:00","2025-10-22T16:43:00.000-03:00","193","SEATED","STANDARD","phone","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
