"id","tableId","customerName","customerPhone","customerEmail","partySize","startTime","endTime","durationMinutes","status","priority","source","createdAt","updatedAt"
"res-1761421861424-1","table-1","Sofia Reyes Flores","+54-11-7777-8888","sofiareyesflores@gmail.com","3","2025-10-23T22:00:00.000-03:00","2025-10-24T00:44:00.000-03:00","164","NO_SHOW","STANDARD","app","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861425-2","table-5","Ana García Navarro","+54-11-4567-8901","anagarcíanavarro@outlook.com","5","2025-10-18T20:30:00.000-03:00","2025-10-18T22:40:00.000-03:00","130","FINISHED","VIP","app","2025-10-19T00:00:00.000-03:00","2025-10-19T00:00:00.000-03:00"
"res-1761421861425-3","table-7","Roberto Herrera Ruiz","+54-11-4567-8901","robertoherreraruiz@live.com","6","2025-10-23T20:00:00.000-03:00","2025-10-23T22:32:00.000-03:00","152","CONFIRMED","VIP","phone","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861425-4","table-3","Raquel Vargas Díaz","+54-11-5656-7878","raquelvargasdíaz@outlook.com","5","2025-10-21T12:30:00.000-03:00","2025-10-21T15:34:00.000-03:00","184","PENDING","VIP","walkin","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861425-5","table-5","Antonio Ruiz Moreno","+54-11-8901-2345","antonioruizmoreno@hotmail.com","2","2025-10-20T13:00:00.000-03:00","2025-10-20T15:23:00.000-03:00","143","CONFIRMED","LARGE_GROUP","walkin","2025-10-21T00:00:00.000-03:00","2025-10-21T00:00:00.000-03:00"
"res-1761421861425-6","table-2","Beatriz Guerrero Moreno","+54-11-7777-8888","beatrizguerreromoreno@yahoo.com","6","2025-10-19T11:00:00.000-03:00","2025-10-19T13:38:00.000-03:00","158","FINISHED","LARGE_GROUP","walkin","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861425-7","table-3","Francisco Martín Navarro","+54-11-5656-7878","franciscomartínnavarro@outlook.com","5","2025-10-18T12:00:00.000-03:00","2025-10-18T13:26:00.000-03:00","86","SEATED","VIP","phone","2025-10-19T00:00:00.000-03:00","2025-10-19T00:00:00.000-03:00"
"res-1761421861425-8","table-4","Nicolás Fuentes Medina","+54-11-0123-4567","nicolásfuentesmedina@yahoo.com","2","2025-10-24T19:00:00.000-03:00","2025-10-24T20:27:00.000-03:00","87","SEATED","LARGE_GROUP","app","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861425-9","table-3","Patricia Navarro Vega","+54-11-5555-6666","patricianavarrovega@yahoo.com","7","2025-10-24T12:00:00.000-03:00","2025-10-24T13:49:00.000-03:00","109","FINISHED","VIP","walkin","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861425-10","table-5","María Rodríguez Fuentes","+54-11-3333-4444","maríarodríguezfuentes@live.com","3","2025-10-23T18:30:00.000-03:00","2025-10-23T20:42:00.000-03:00","132","SEATED","STANDARD","walkin","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861426-11","table-5","Fernando Ramos Díaz","+54-11-1111-2222","fernandoramosdíaz@yahoo.com","4","2025-10-21T13:00:00.000-03:00","2025-10-21T14:51:00.000-03:00","111","CONFIRMED","LARGE_GROUP","app","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861426-12","table-3","Sofia Reyes Rodríguez","+54-11-8901-2345","sofiareyesrodríguez@outlook.com","4","2025-10-20T17:00:00.000-03:00","2025-10-20T20:34:00.000-03:00","214","FINISHED","STANDARD","phone","2025-10-21T00:00:00.000-03:00","2025-10-21T00:00:00.000-03:00"
"res-1761421861426-13","table-7","Teresa Molina Martín","+54-11-1111-2222","teresamolinamartín@outlook.com","5","2025-10-19T13:00:00.000-03:00","2025-10-19T16:26:00.000-03:00","206","CANCELLED","LARGE_GROUP","app","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861426-14","table-5","Beatriz Guerrero Díaz","+54-11-2345-6789","beatrizguerrerodíaz@yahoo.com","4","2025-10-23T12:00:00.000-03:00","2025-10-23T14:35:00.000-03:00","155","PENDING","STANDARD","app","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861426-15","table-4","Sergio Peña Flores","+54-11-1212-3434","sergiopeñaflores@yahoo.com","3","2025-10-23T14:00:00.000-03:00","2025-10-23T15:04:00.000-03:00","64","CONFIRMED","LARGE_GROUP","phone","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861426-16","table-4","Elena Moreno Peña","+54-11-1111-2222","elenamorenopeña@hotmail.com","4","2025-10-18T18:30:00.000-03:00","2025-10-18T21:53:00.000-03:00","203","CANCELLED","LARGE_GROUP","app","2025-10-19T00:00:00.000-03:00","2025-10-19T00:00:00.000-03:00"
"res-1761421861426-18","table-7","Camila Espinoza Jiménez","+54-11-1234-5678","camilaespinozajiménez@live.com","5","2025-10-21T22:30:00.000-03:00","2025-10-22T00:03:00.000-03:00","93","PENDING","STANDARD","web","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861426-19","table-7","Sandra Vega Guerrero","+54-11-5656-7878","sandravegaguerrero@gmail.com","6","2025-10-22T19:00:00.000-03:00","2025-10-22T20:18:00.000-03:00","78","SEATED","LARGE_GROUP","web","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861426-20","table-2","Valeria Silva Ortega","+54-11-1111-2222","valeriasilvaortega@gmail.com","5","2025-10-19T14:30:00.000-03:00","2025-10-19T18:14:00.000-03:00","224","NO_SHOW","STANDARD","app","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861426-21","table-3","David Jiménez Reyes","+54-11-9090-1212","davidjiménezreyes@gmail.com","5","2025-10-19T12:00:00.000-03:00","2025-10-19T13:52:00.000-03:00","112","NO_SHOW","VIP","walkin","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861426-22","table-7","Sofia Reyes Martínez","+54-11-1111-2222","sofiareyesmartínez@yahoo.com","4","2025-10-23T10:30:00.000-03:00","2025-10-23T12:13:00.000-03:00","103","CONFIRMED","STANDARD","app","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861426-23","table-4","Francisco Martín Torres","+54-11-1111-2222","franciscomartíntorres@outlook.com","2","2025-10-20T12:30:00.000-03:00","2025-10-20T14:36:00.000-03:00","126","FINISHED","STANDARD","web","2025-10-21T00:00:00.000-03:00","2025-10-21T00:00:00.000-03:00"
"res-1761421861426-24","table-1","Beatriz Guerrero Espinoza","+54-11-1234-5678","beatrizguerreroespinoza@gmail.com","2","2025-10-22T22:00:00.000-03:00","2025-10-23T00:54:00.000-03:00","174","FINISHED","LARGE_GROUP","app","2025-10-23T00:00:00.000-03:00","2025-10-23T00:00:00.000-03:00"
"res-1761421861427-25","table-5","Lucía Morales Sánchez","+54-11-0123-4567","lucíamoralessánchez@yahoo.com","2","2025-10-19T18:00:00.000-03:00","2025-10-19T21:11:00.000-03:00","191","FINISHED","STANDARD","app","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861427-26","table-6","Lucía Morales Guerrero","+54-11-1111-2222","lucíamoralesguerrero@live.com","4","2025-10-23T15:30:00.000-03:00","2025-10-23T17:47:00.000-03:00","137","PENDING","VIP","web","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861427-27","table-3","Nicolás Fuentes Fuentes","+54-11-6789-0123","nicolásfuentesfuentes@yahoo.com","7","2025-10-21T21:00:00.000-03:00","2025-10-22T00:40:00.000-03:00","220","CANCELLED","VIP","phone","2025-10-22T00:00:00.000-03:00","2025-10-22T00:00:00.000-03:00"
"res-1761421861427-28","table-3","Lucía Morales Herrera","+54-11-1212-3434","lucíamoralesherrera@hotmail.com","6","2025-10-23T18:00:00.000-03:00","2025-10-23T20:56:00.000-03:00","176","NO_SHOW","STANDARD","app","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861427-29","table-4","Gabriel Rojas Medina","+54-11-9999-0000","gabrielrojasmedina@outlook.com","2","2025-10-24T15:30:00.000-03:00","2025-10-24T18:56:00.000-03:00","206","SEATED","VIP","app","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
"res-1761421861427-30","table-8","Teresa Molina González","+54-11-7777-8888","teresamolinagonzález@live.com","3","2025-10-20T22:00:00.000-03:00","2025-10-21T00:58:00.000-03:00","178","PENDING","STANDARD","phone","2025-10-21T00:00:00.000-03:00","2025-10-21T00:00:00.000-03:00"
"res-1761421861427-32","table-5","Patricia Navarro Martínez","+54-11-6767-8989","patricianavarromartínez@hotmail.com","3","2025-10-19T13:30:00.000-03:00","2025-10-19T17:01:00.000-03:00","211","CONFIRMED","LARGE_GROUP","web","2025-10-20T00:00:00.000-03:00","2025-10-20T00:00:00.000-03:00"
"res-1761421861427-34","table-2","Gabriel Rojas Vega","+54-11-6789-0123","gabrielrojasvega@yahoo.com","6","2025-10-23T14:00:00.000-03:00","2025-10-23T16:10:00.000-03:00","130","NO_SHOW","VIP","web","2025-10-24T00:00:00.000-03:00","2025-10-24T00:00:00.000-03:00"
"res-1761421861427-35","table-8","Raquel Vargas Reyes","+54-11-5656-7878","raquelvargasreyes@hotmail.com","4","2025-10-24T17:00:00.000-03:00","2025-10-24T20:29:00.000-03:00","209","FINISHED","STANDARD","walkin","2025-10-25T00:00:00.000-03:00","2025-10-25T00:00:00.000-03:00"
